,date,cases,deaths,casesNew,deathsNew,casesPer100K,deathsPer100K,dias,codigo_ibge,nome,nome_com_uf,frigorifico
1315,2020-06-09,1.0,0.0,0.0,0.0,23.758612496999998,0.0,6.0,251220,Prata (PB),PRATA (PB),
1316,2020-06-18,27.0,1.0,0.0,0.0,115.6564574855,4.2835724995,49.0,251230,Princesa Isabel (PB),PRINCESA ISABEL (PB),
1317,2020-06-18,99.0,0.0,0.0,0.0,723.6842105263,0.0,40.0,251240,Puxinanã (PB),PUXINANÃ (PB),
1318,2020-06-18,293.0,0.0,0.0,0.0,666.4088975823,0.0,61.0,251250,Queimadas (PB),QUEIMADAS (PB),
1319,2020-06-18,22.0,0.0,0.0,0.0,1124.7443762781,0.0,37.0,251260,Quixaba (PB),QUIXABA (PB),
1320,2020-06-18,114.0,2.0,0.0,0.0,581.0101421946,10.193160389400001,44.0,251270,Remígio (PB),REMÍGIO (PB),
1321,2020-06-18,1.0,0.0,0.0,0.0,16.4230579734,0.0,23.0,251272,Pedro Régis (PB),PEDRO RÉGIS (PB),
1322,2020-06-18,11.0,0.0,0.0,0.0,306.57748049049997,0.0,15.0,251274,Riachão (PB),RIACHÃO (PB),
1323,2020-06-18,146.0,0.0,0.0,0.0,3229.3740322937,0.0,42.0,251275,Riachão do Bacamarte (PB),RIACHÃO DO BACAMARTE (PB),
1324,2020-06-18,17.0,1.0,0.0,0.0,377.0237303171,22.1778664892,62.0,251276,Riachão do Poço (PB),RIACHÃO DO POÇO (PB),
1325,2020-06-18,6.0,0.0,0.0,0.0,308.00821355240004,0.0,28.0,251278,Riacho de Santo Antônio (PB),RIACHO DE SANTO ANTÔNIO (PB),
1326,2020-06-18,3.0,0.0,0.0,0.0,35.186488388499995,0.0,50.0,251280,Riacho dos Cavalos (PB),RIACHO DOS CAVALOS (PB),
1327,2020-06-18,222.0,7.0,0.0,2.0,918.2660489742,28.9543348776,49.0,251290,Rio Tinto (PB),RIO TINTO (PB),
1328,2020-06-18,8.0,0.0,0.0,0.0,205.9202059202,0.0,27.0,251300,Salgadinho (PB),SALGADINHO (PB),
1329,2020-06-18,61.0,0.0,0.0,0.0,502.471169687,0.0,36.0,251310,Salgado de São Félix (PB),SALGADO DE SÃO FÉLIX (PB),
1330,2020-06-18,10.0,0.0,0.0,0.0,152.4855138762,0.0,28.0,251315,Santa Cecília (PB),SANTA CECÍLIA (PB),
1331,2020-06-18,5.0,0.0,0.0,0.0,75.9532128209,0.0,13.0,251320,Santa Cruz (PB),SANTA CRUZ (PB),
1332,2020-06-18,3.0,0.0,0.0,0.0,50.9424350484,0.0,50.0,251330,Santa Helena (PB),SANTA HELENA (PB),
1333,2020-06-18,5.0,0.0,0.0,0.0,139.0820584145,0.0,22.0,251335,Santa Inês (PB),SANTA INÊS (PB),
1334,2020-06-18,126.0,4.0,0.0,0.0,819.1392536731,26.0044207515,43.0,251340,Santa Luzia (PB),SANTA LUZIA (PB),
1335,2020-06-18,2.0,0.0,0.0,0.0,28.4454558384,0.0,26.0,251360,Santana dos Garrotes (PB),SANTANA DOS GARROTES (PB),
1336,2020-06-18,1.0,0.0,0.0,0.0,37.9362670713,0.0,40.0,251365,Joca Claudino (PB),JOCA CLAUDINO (PB),
1337,2020-06-18,1006.0,88.0,1.0,0.0,736.5322946714999,64.4282722973,72.0,251370,Santa Rita (PB),SANTA RITA (PB),
1338,2020-06-18,24.0,0.0,0.0,0.0,524.8195932648,0.0,39.0,251380,Santa Teresinha (PB),SANTA TERESINHA (PB),
1339,2020-06-18,1.0,0.0,0.0,0.0,39.6667988893,0.0,15.0,251385,Santo André (PB),SANTO ANDRÉ (PB),
1340,2020-06-18,440.0,7.0,0.0,0.0,1292.9387911022,20.5694807675,62.0,251390,São Bento (PB),SÃO BENTO (PB),
1341,2020-06-18,16.0,0.0,0.0,0.0,353.2788695076,0.0,28.0,251392,São Bentinho (PB),SÃO BENTINHO (PB),
1342,2020-06-18,1.0,0.0,0.0,0.0,38.240917782,0.0,3.0,251394,São Domingos do Cariri (PB),SÃO DOMINGOS DO CARIRI (PB),
