city,frigorifico
SANTO ANTÔNIO DA PLATINA (PR),sim
SANTO ANTÔNIO DA PLATINA (PR),sim
SANTO INÁCIO (PR),sim
SANTO INÁCIO (PR),sim
SÃO FÉLIX DO XINGU (PA),sim
SÃO GABRIEL (RS),sim
SÃO GABRIEL (RS),sim
SÃO GABRIEL (RS),sim
SÃO GABRIEL DO OESTE (MS),sim
SÃO GABRIEL DO OESTE (MS),sim
SÃO GABRIEL DO OESTE (MS),sim
SÃO GERALDO DO ARAGUAIA (PA),sim
SÃO GONÇALO DO SAPUCAÍ (MG),sim
SÃO GONÇALO DOS CAMPOS (BA),sim
SÃO JERÔNIMO (RS),sim
SÃO JERÔNIMO (RS),sim
SÃO JOÃO (PR),sim
SÃO JOAQUIM DE BICAS (MG),sim
SÃO JOSÉ (SC),sim
SÃO JOSÉ (SC),sim
SÃO JOSÉ DO RIO CLARO (MT),sim
SÃO JOSÉ DO RIO CLARO (MT),sim
SÃO JOSÉ DOS PINHAIS (PR),sim
SÃO LUIZ GONZAGA (RS),sim
SÃO MIGUEL DO GUAPORÉ (RO),sim
SÃO MIGUEL DO IGUAÇU (PR),sim
SÃO MIGUEL DO IGUAÇU (PR),sim
SÃO MIGUEL DO OESTE (SC),sim
SÃO MIGUEL DO OESTE (SC),sim
SÃO PEDRO DOS FERROS (MG),sim
SÃO SEBASTIÃO DO CAÍ (RS),sim
SÃO SEBASTIÃO DO OESTE (MG),sim
SÃO SEBASTIÃO DO PARAÍSO (MG),sim
SARANDI (RS),sim
SARANDI (RS),sim
SEARA (SC),sim
SEARA (SC),sim
SEBERI (RS),sim
SEBERI (RS),sim
SENADOR CANEDO (GO),sim
SENADOR GUIOMARD (AC),sim
SERAFINA CORRÊA (RS),sim
SERTÃOZINHO (SP),sim
SETE LAGOAS (MG),sim
SIDROLÂNDIA (MS),sim
SIDROLÂNDIA (MS),sim
SIMÕES FILHO (BA),sim
SIMÕES FILHO (BA),sim
SIMÕES FILHO (BA),sim
SIMÕES FILHO (BA),sim
SOLEDADE (RS),sim
SORRISO (MT),sim
SORRISO (MT),sim
SORRISO (MT),sim
SUZANO (SP),sim
TANGARÁ DA SERRA (MT),sim
TANGARÁ DA SERRA (MT),sim
TANGARÁ DA SERRA (MT),sim
TANGARÁ DA SERRA (MT),sim
TAPEJARA (RS),sim
TARAUACÁ (AC),sim
TEIXEIRA DE FREITAS (BA),sim
TERENOS (MS),sim
TERESINA (PI),sim
TERRA BOA (PR),sim
TEUTÔNIA (RS),sim
TIMBÓ (SC),sim
TIMON (MA),sim
TOLEDO (PR),sim
TOLEDO (PR),sim
TRÊS PASSOS (RS),sim
TRINDADE DO SUL (RS),sim
TUCUMÃ (PA),sim
TUCUMÃ (PA),sim
TUPÃ (SP),sim
UBERABA (MG),sim
UBERABA (MG),sim
UBERLÂNDIA (MG),sim
UBERLÂNDIA (MG),sim
UBERLÂNDIA (MG),sim
UBIRATÃ (PR),sim
UMUARAMA (PR),sim
UMUARAMA (PR),sim
UNAÍ (MG),sim
URUCÂNIA (MG),sim
VALINHOS (SP),sim
VÁRZEA GRANDE (MT),sim
VÁRZEA GRANDE (MT),sim
VÁRZEA GRANDE (MT),sim
VÁRZEA GRANDE (MT),sim
VÁRZEA GRANDE (MT),sim
VÁRZEA PAULISTA (SP),sim
VENÂNCIO AIRES (RS),sim
VIDEIRA (SC),sim
VIDEIRA (SC),sim
VILA LÂNGARO (RS),sim
VILA MARIA (RS),sim
VILHENA (RO),sim
VISCONDE DO RIO BRANCO (MG),sim
VOTUPORANGA (SP),sim
VOTUPORANGA (SP),sim
WESTFALIA (RS),sim
XANXERÊ (SC),sim
XANXERÊ (SC),sim
XAXIM (SC),sim
XINGUARA (PA),sim
XINGUARA (PA),sim
XINGUARA (PA),sim
XINGUARA (PA),sim
